Age,Income,Credit_Score,Missed_Payments,Debt_to_Income_Ratio,Delinquent
46,32627,679,3,0.45,1
38,40810,696,1,0.66,0
48,34254,623,2,0.23,0
59,52378,714,0,0.34,0
36,100539,565,2,0.43,1
36,30864,640,1,0.2,0
60,89365,512,3,0.54,1
49,30668,749,0,0.35,1
33,29478,666,1,0.05,0
47,80110,810,1,0.21,0
33,85234,728,0,0.09,0
33,81702,664,5,0.63,1
43,22259,644,0,0.33,0
18,37065,587,6,0.31,1
18,80321,680,4,0.31,1
32,50258,675,1,0.43,0
26,25739,599,0,0.42,0
44,64536,560,4,0.24,1
28,31924,622,1,0.46,0
21,143877,789,1,0.32,0
59,123859,812,1,0.29,0
37,70435,692,0,0.25,0
40,110924,688,0,0.29,0
21,50964,659,1,0.32,0
32,77595,623,2,0.05,0
41,118970,762,0,0.26,0
25,56800,792,1,0.05,0
44,42061,577,1,0.24,1
32,17627,630,1,0.33,1
36,46635,595,3,0.43,1
32,80342,654,1,0.33,0
64,86455,751,1,0.64,0
39,66344,601,0,0.11,0
26,35426,707,1,0.13,0
50,15000,723,2,0.2,0
24,36419,671,3,0.57,0
42,40839,733,4,0.47,0
18,40629,688,2,0.16,0
22,71049,753,1,0.14,0
42,161362,588,4,0.15,0
49,52792,659,1,0.2,0
42,43043,647,2,0.31,1
38,41959,494,1,0.34,1
36,52819,614,2,0.15,0
20,29822,631,0,0.46,0
30,52686,736,1,0.29,0
34,64246,637,1,0.43,0
53,55592,630,2,0.21,0
44,64506,729,2,0.05,0
18,63592,582,2,0.27,0
44,16930,531,2,0.44,1
34,71834,658,2,0.61,0
31,32774,593,0,0.09,0
47,25399,550,0,0.15,1
53,25268,714,3,0.11,0
52,63584,732,3,0.61,0
29,42892,727,2,0.25,0
35,17868,746,2,0.33,0
44,65304,726,2,0.19,1
52,20665,513,6,0.18,1
33,53310,707,2,0.08,0
37,56562,648,0,0.1,0
25,83395,602,3,0.8,1
24,142772,692,3,0.28,1
50,21616,555,4,0.43,1
57,47501,547,4,0.74,1
39,41531,718,1,0.2,0
53,63592,709,1,0.2,0
44,55792,688,0,0.35,0
31,39674,580,2,0.37,1
44,37626,724,0,0.16,0
59,25087,720,1,0.54,0
39,88673,656,3,0.16,1
60,64571,609,1,0.07,0
18,85021,654,1,0.48,0
50,40691,730,1,0.5,0
41,33054,759,1,0.49,0
36,25668,619,0,0.42,1
41,60800,665,2,0.33,0
18,26268,670,1,0.38,0
37,148627,696,2,0.21,0
44,22368,645,1,0.4,0
59,57768,469,2,0.55,1
33,125506,751,2,0.33,0
29,70224,787,1,0.21,0
33,54469,643,1,0.24,0
51,27416,576,4,0.56,1
44,21395,671,2,0.2,0
33,77810,668,2,0.44,0
46,121017,739,0,0.05,0
41,37672,683,1,0.48,0
52,24749,632,2,0.24,0
30,15000,566,4,0.5,1
35,27215,731,1,0.16,0
34,45789,715,3,0.55,0
20,127960,743,0,0.22,0
43,73414,621,1,0.39,0
43,58867,790,1,0.2,0
40,38558,519,0,0.76,1
36,34547,722,0,0.39,0
21,113935,526,0,0.36,1
34,55295,632,1,0.31,0
35,15000,773,1,0.18,0
29,32724,729,0,0.11,0
37,29292,647,0,0.28,0
45,35321,648,5,0.05,0
64,68716,686,2,0.15,0
42,45960,710,0,0.62,0
43,46811,718,5,0.61,1
39,107805,602,2,0.2,1
18,32277,583,2,0.07,0
39,150019,689,1,0.27,0
